English Term,English Def.,Arabic Term,Arabic Def.
A/B Testing,Statistical way to compare two or more techniques to determine which performs better and to understand whether the difference is statistically significant.,اختبار أ/ب,طريقة إحصائية لمقارنة أسلوبين أو أكثر؛ لتحديد أي منهما يعمل بطريقة أفضل، وفهم ما إذا كان الاختلاف ذا دلالة إحصائية.
Abduction,"See ""Abductive Reasoning.""",استخلاص,"انظر ""استدلال استخلاصي""."
Abductive Logic Programming (ALP),A framework that combines logic programming with abductive reasoning to generate plausible explanations or hypotheses for observed data or events.,برمجة منطقية استخلاصية,إطار يجمع بين البرمجة المنطقية والاستدلال الاستخلاصي؛ لتوليد تفسيرات أو فرضيات معقولة للبيانات أو الأحداث المرصودة.
Abductive Reasoning,"The process of inferring probable conclusions based on known information. Also called ""Abduction.""",استدلال استخلاصي,"عملية استنتاج نتائج محتملة بناءً على معلومات معروفة. ويُطلق عليها أيضًا ""استخلاص""."
Ablation Study,A scientific examination used to analyze the performance of a model by systematically removing or disabling some of its components and evaluating the impact of that on the performance.,دراسة استئصالية,اختبار علمي يُستخدم لتحليل أداء نموذج ما عن طريق إزالة بعض مُكوِّناته أو تعطيلها بطريقة منهجية وتقييم تأثير ذلك في الأداء.
Abstract Datatype,A set of data values and related operations that are independent of any implementation.,نوع بيانات مجرد,مجموعة من قيم البيانات والعمليات ذات الصلة التي تكون مستقلة عن أي تنفيذ.
Accountability,"A state of being accountable for something based on regulation, agreement, or assignment.",مسؤولية,حالة من المسؤولية عن شيء ما بناءً على التنظيم أو الاتفاق أو التعيين.
Accuracy,ِA rate of correct predictions a classification model makes.,دقة,معدل التنبؤات الصحيحة التي يقدمها نموذج التصنيف.
Action,A mechanism in reinforcement learning in which the agent transitions between the environment states.,فعل,آلية في التعلُّم التعزيزي، ينتقل بها الوكيل بين حالات البيئة.
Action Model Learning,A subfield of machine learning where AI agents learn to understand the effects of their actions within an environment.,تعلُّم نموذج الأفعال,مجال فرعي من تعلُّم الآلة، يتعلم فيه وكلاء الذكاء الاصطناعي فهم تأثيرات أفعالهم في بيئة ما.
Action Recognition,"ِA computer vision task that analyzes videos to identify human actions. Also called ""Human Action Recognition"" or ""Human Activity Recognition (HAR).""",تعرُّف على الأفعال,"مهمة في رؤية الحاسب تُحلِّل الفيديوهات لتحديد الأفعال البشرية. ويُطلق عليها أيضًا ""تعرُّف على الأفعال البشرية"" أو ""تعرُّف على النشاط البشري""."
Action Selection,A process of deciding what to do next by an agent.,اختيار الفعل,عملية تحديد ما يجب أن يقوم به الوكيل في الخطوة التالية.
Activation Function,A mathematical formula used in an artificial neural network to process weighted inputs of a node and generate output.,دالة تنشيط,صيغة رياضية تُستخدم في الشبكة العصبية الاصطناعية؛ لمعالجة المُدْخَلات الموزونة للعُقَد وتوليد المخرجات.
Activation Map,"See ""Feature Map.""",خريطة التنشيط,"انظر ""خريطة الخصائص""."
Active Learning,A semi-supervised learning approach where the algorithm selects some of the data it needs for learning.,تعلُّم نشط,طريقة تعلُّم شبه موجَّه، يمكن للخوارزمية فيها اختيار بعض البيانات للتعلُّم منها.
Active Prompting,A method to adapt a model to specific tasks by selecting and annotating the most uncertain questions with task-specific prompts and chain-of-thought.,أوامر نشطة,طريقة لتكييف نموذج على مهام محددة عن طريق اختيار الأسئلة الأكثر غموضًا، وتوصيفها باستخدام أوامر متعلقة بالمهام وتسلسل الأفكار.
