framework_id,control_id,title,severity,weight,doc_types,page,intent
oecd,oecd::PRINCIPLE-1.1,"Human-centric, user-defined AI that guarantees benefits for people and planet",high,3,"system,policy,plan",27-32,"AI systems must be designed to prioritize human well-being and environmental sustainability, with algorithms that are defined by user needs and deliver tangible benefits to both people and the planet."
oecd,oecd::PRINCIPLE-1.2,Fairness and absence of bias,high,3,"system,policy,plan",27-32,"AI systems must be designed and evaluated to ensure they do not introduce or amplify unfair discrimination or bias, particularly when used in sensitive contexts like hiring, credit, or law enforcement"
oecd,oecd::PRINCIPLE-1.3,Transparency about AI role and human involvement,high,3,"system,policy,plan",27-32,"In high-stakes applications, organizations must clearly disclose when and how AI is used in decision-making, ensure meaningful human oversight, and provide accessible appeal mechanisms for affected in"
oecd,oecd::PRINCIPLE-1.5,Accountability for AI outcomes,high,3,"system,policy,plan",27-32,"Organizations deploying AI systems must establish clear lines of responsibility for outcomes, ensuring that someone is accountable for harms, errors, or unintended consequences, especially in high-ris"
oecd,oecd::PRINCIPLE-2.4,"Impact on work, jobs, and skills",med,2,"system,policy,plan",27-32,"Organizations must assess and mitigate the impact of AI on employment, including potential displacement, and develop strategies to reskill workers and ensure equitable sharing of productivity gains."
oecd,oecd::PRINCIPLE-2.5,International cooperation,med,2,"policy,plan",27-32,"Given the global nature of AI impacts, stakeholders are expected to collaborate across borders to address shared risks and opportunities, particularly in areas like climate change, human rights, and e"
oecd,oecd::REQUIREMENT-GDPR-HUMAN-IN-LOOP,Human-in-the-loop for legal or significant decisions,high,3,"system,policy",27-32,"When AI systems make decisions that have legal consequences or significantly affect individuals (e.g., credit denial, hiring, parole), a human must review and confirm the decision before it is finaliz"
oecd,oecd::PRINCIPLE-1.4,"Business function and critical function impact security, safety and robustness",high,3,"system,policy,plan",31-35,"AI systems must be designed with heightened security, safety, and robustness controls when deployed in critical functions (e.g., healthcare, law enforcement) or high-risk business functions, due to po"
oecd,oecd::PRINCIPLE-2.1,AI system maturity affects R&D investment and safety,med,2,"system,plan",31-35,"The technical maturity of an AI system (e.g., TRL level) must inform R&D investment decisions and risk management, ensuring that immature systems are not deployed in high-stakes contexts without adequ"
oecd,oecd::CRITICAL-FUNCTION-DEFINITION,Define and classify critical functions and sectors,high,3,"system,policy,plan",31-35,"Organizations must identify and classify whether their AI systems are deployed in critical sectors or perform critical functions, as this triggers heightened regulatory and safety obligations."
oecd,oecd::GOVERN-1.1,"Transparent, accessible information about the AI system’s objectives and assumptions",med,2,"system,policy,plan",34-37,AI system operators must make clear and accessible information available to stakeholders about the system's goals and underlying assumptions to support accountability and trust. This ensures transpare
oecd,oecd::GOVERN-1.2,Performance monitoring mechanisms for AI systems,high,3,"system,policy,plan",34-37,"Operators must implement measurable metrics to continuously evaluate the performance and accuracy of AI systems in operation, ensuring they function as intended and detect degradation over time."
oecd,oecd::GOVERN-1.3,Tools or processes for developing or maintaining trustworthy AI,high,3,"system,policy,plan",34-37,"Operators must use established tools and processes—such as risk frameworks, validation methods, documentation standards, and security tools—to ensure AI systems are developed and maintained in a trust"
oecd,oecd::DATA-1.1,Data provenance must be documented and understood,med,2,"system,policy,plan",34-37,"Operators must document the origin, collection method, domain, and technical properties of all data used in AI systems to ensure traceability, appropriateness, and compliance with ethical and legal st"
oecd,oecd::DATA-1.2,Data collection methods must be identified and justified,med,2,"system,policy,plan",34-37,"Operators must identify and justify how data is collected—whether by humans, automated sensors, or hybrid methods—to ensure appropriate consent, privacy safeguards, and ethical alignment, especially w"
oecd,oecd::DATA-1.3,Data provenance categories must be applied and disclosed,med,2,"system,policy,plan",34-37,"Operators must classify and disclose the provenance category of all data used (expert, provided, observed, synthetic, derived) to ensure transparency about how data was generated and whether individua"
oecd,oecd::DATA-1.4,Dynamic nature of data must be assessed and managed,med,2,"system,policy,plan",34-37,"Operators must assess whether data used by the AI system is static, periodically updated, or real-time, and implement appropriate mechanisms to handle data evolution to prevent model drift or unsafe b"
oecd,oecd::DATA-1.5,Scale of data must be documented and justified,low,1,"system,policy,plan",34-37,"Operators must document the scale of data used by the AI system—whether small, medium, large, or very large—to enable assessment of computational requirements, fairness implications, and environmental"
oecd,oecd::PRINCIPLE-2.2,"Data availability, compute capacity, and data-sharing policies",med,2,"policy,plan",37-41,"Organizations must ensure adequate infrastructure and policies to support data availability, sharing, and compute capacity, particularly when using public or proprietary data at scale."
oecd,oecd::PRINCIPLE-1.2-SENSITIVE-DATA,Handling of sensitive personal data,high,3,"system,policy",37-41,"AI systems must apply heightened protections to sensitive personal data as defined by legal frameworks like GDPR or U.S. regulations, including strict access controls and purpose limitation."
oecd,oecd::PRINCIPLE-2.2-DATA-QUALITY,Data quality and appropriateness criteria,high,3,"system,plan",37-41,"AI systems must use data that is appropriate, representative, complete, and of high quality, with defined standards for sample size, noise levels, and data integrity to ensure reliable outcomes."
oecd,oecd::PRINCIPLE-2.2-DATA-STRUCTURE,Data and input structure classification,med,2,"system,plan",37-41,"AI systems must classify and document the structure of input data (unstructured, semi-structured, structured, complex) and ensure proper labeling practices to support model selection and auditability."
oecd,oecd::PRINCIPLE-2.2-DATA-FORMAT,Standardized data and metadata formats,med,2,"system,policy",37-41,"AI systems must use standardized data formats and metadata to ensure interoperability, comparability, and traceability across datasets and systems."
oecd,oecd::GOVERN-1.4,Documentation of dataset characteristics,med,2,"system,policy,plan",40-44,"All datasets used in AI systems must be thoroughly documented with details on creation, composition, intended use, and maintenance to ensure accountability, reproducibility, and responsible use."
oecd,oecd::GOVERN-1.5,Consistency and integrity of AI outcomes,med,2,"system,policy",43-46,"The AI system must produce consistent outcomes for similar inputs to ensure fairness, reliability, and freedom from arbitrary or discriminatory behavior."
oecd,oecd::GOVERN-1.6,Existence of safety metrics for AI use cases,high,3,"system,policy,plan",43-46,"The AI system must be evaluated using defined, measurable safety metrics tailored to its specific application context to prevent harm or failure."
oecd,oecd::GOVERN-1.7,Testing for safety during development,med,2,"system,plan",43-46,"Safety must be actively tested throughout the AI system’s development lifecycle, not just at deployment, to identify and mitigate risks early."
oecd,oecd::GOVERN-1.8,Adversarial evaluation of AI systems,high,3,"system,policy",43-46,"The AI system must be subjected to adversarial testing to uncover vulnerabilities that malicious actors could exploit, ensuring resilience against intentional manipulation or attacks."
oecd,oecd::GOVERN-1.9,Robustness to data variation,med,2,"system,plan",43-46,The AI system must demonstrate robustness to variations in training data to ensure reliability under real-world conditions and prevent performance collapse due to data drift or noise.
oecd,oecd::GOVERN-1.10,Validation and verification of AI outcomes,high,3,"system,policy",43-46,"The AI system’s outputs must be independently validated and verified to ensure correctness, reliability, and alignment with intended purposes before and after deployment."
oecd,oecd::GOVERN-1.11,Traceability in AI system lifecycle,high,3,"system,policy,plan",43-46,"Full traceability must be maintained across all stages of the AI lifecycle — from data collection to decision output — to enable auditing, debugging, and accountability."
oecd,oecd::GOVERN-1.12,Availability of model information,med,2,"system,policy",43-46,"The level of transparency regarding the AI model’s architecture, design, and components must be disclosed to enable assessment of its reliability, fairness, and safety."
oecd,oecd::GOVERN-1.13,Licensing regime of AI model,low,1,"system,policy",43-46,"The licensing regime of the AI model must be clearly identified to determine rights to inspect, modify, redistribute, or audit the system, which affects transparency and accountability."
oecd,oecd::GOVERN-1.14,"Model type classification (symbolic, statistical, hybrid)",med,2,"system,policy",43-46,"The type of AI model used must be classified to assess its explainability, reliability, and suitability for the intended application, as different types have distinct strengths and risks."
oecd,oecd::GOVERN-1.15,Discriminative vs. generative model classification,med,2,"system,policy",43-46,"The system must be classified as discriminative, generative, or hybrid to clarify the nature of its outputs (predictions vs. artifacts) and associated risks such as deepfakes or misinformation."
oecd,oecd::GOVERN-1.16,Model ensembles and system complexity,med,2,"system,policy",43-46,"The complexity of the AI system — whether composed of a single model or multiple interacting ensembles — must be documented to assess failure risks, error propagation, and auditability."
oecd,oecd::GOVERN-1.17,Model-building approach (human-encoded vs. machine-learned),med,2,"system,policy,plan",43-46,"The method used to build the AI model — whether through human rules, data-driven learning, or hybrid approaches — must be disclosed to assess transparency, bias potential, and interpretability."
oecd,oecd::PRINCIPLE-1.3-2,Explainability for Probabilistic Models,med,2,"system,policy",46-50,"When using probabilistic AI models, organizations must document and communicate the uncertainty of outcomes to users and auditors, ensuring that decisions based on such models are transparent about th"
oecd,oecd::PRINCIPLE-1.4-2,Model Testing and Validation,med,2,"system,plan",46-50,"AI models must undergo formal verification and validation by qualified teams to ensure performance across safety, accuracy, fairness, and robustness dimensions before deployment. This process must be "
oecd,oecd::OECD-CLASS-1.1,Model verification and validation must involve testing performance across dimensions and considerations,high,3,"system,policy,plan",49-52,"Developers must systematically test AI models to evaluate their performance across multiple dimensions such as accuracy, fairness, and robustness before deployment. This ensures models are not only fu"
oecd,oecd::OECD-CLASS-1.2,Diversity in development teams must be advocated to mitigate unconscious bias in AI systems,med,2,"policy,plan",49-52,"Organizations should actively promote diverse teams in AI development to reduce the risk of embedding unconscious biases into system design and outcomes, recognizing that homogenous teams may produce "
oecd,oecd::OECD-CLASS-2.1,AI systems must be classified by task type using the seven defined categories,high,3,"system,policy,plan",49-52,"AI systems must be categorized according to one or more of the seven defined task types to enable appropriate risk assessment, governance, and policy alignment. This classification is foundational for"
oecd,oecd::OECD-CLASS-2.2,Policy considerations must be addressed for each AI task type based on associated principles,high,3,"policy,system",49-52,"For each AI task type, organizations must identify and address specific policy risks and ethical implications tied to OECD principles (e.g., fairness, transparency, human oversight), ensuring governan"
oecd,oecd::OECD-CLASS-3.1,Composite AI systems must be identified and assessed for unpredictable boundaries and impacts,high,2,"system,plan",49-52,"When AI systems combine multiple tasks (e.g., recognition + forecasting), organizations must explicitly identify them as composite systems and conduct enhanced testing and risk assessments due to emer"
oecd,oecd::OECD-CLASS-3.2,Content generation systems must be recognized as combining forecasting and recognition tasks,high,2,"system,policy",49-52,"Systems that generate synthetic content (e.g., deepfakes, AI art, automated news) must be classified as combining forecasting and recognition tasks, triggering specific governance requirements due to "
oecd,oecd::OECD-CLASS-3.3,Autonomous systems must distinguish between task execution and decision autonomy,high,2,"system,plan",49-52,"Organizations must clearly differentiate between the autonomy of action (e.g., driving a car) and the autonomy of decision-making (e.g., recognizing objects), ensuring that reliance on supervised lear"
oecd,oecd::OECD-CLASS-3.4,Monitoring and control systems must link task detection to actionable outcomes,high,2,"system,policy",49-52,"Systems that detect events or patterns and then trigger automated actions (e.g., freezing accounts, adjusting thermostats) must explicitly link the detection task to the resulting action, ensuring acc"
oecd,oecd::AUTONOMY-LEVEL-1,No-action autonomy (human support),med,2,"system,plan",52-56,"When an AI system operates with no-action autonomy, it must be designed so that it cannot execute any action without explicit human approval — ensuring human control over all outcomes."
oecd,oecd::AUTONOMY-LEVEL-2,Low-action autonomy (human-in-the-loop),med,2,"system,plan",52-56,"In low-action autonomy systems, the AI can only act after a human explicitly approves its recommendation — ensuring human judgment remains the final gatekeeper for all actions."
oecd,oecd::AUTONOMY-LEVEL-3,Medium-action autonomy (human-on-the-loop),med,2,"system,plan",52-56,"In medium-action autonomy systems, the AI executes actions automatically unless a human actively intervenes to stop it — requiring robust monitoring and easy veto mechanisms."
oecd,oecd::AUTONOMY-LEVEL-4,High-action autonomy (human-out-of-the-loop),high,3,"system,policy,plan",52-56,"High-action autonomy systems operate entirely without human intervention — requiring the highest level of safety validation, accountability, and ethical review due to their potential for uncontrolled "
oecd,oecd::EVALUATION-STD-1,Use of agreed standards for AI system evaluation,med,2,"system,policy,plan",52-56,"When industry standards exist for evaluating AI systems, organizations must use them to ensure consistent, reliable, and accountable assessment of system performance and safety."
nist_interop,nist_interop::GOVERN-1.1,"Define scope, context and criteria for AI risk management",high,3,"system,policy,plan",7-12,"Organizations must clearly establish the boundaries, context, and evaluation criteria for AI risk management, including identifying applicable ethical principles, stakeholders, and actors across all p"
nist_interop,nist_interop::GOVERN-1.2,Assess risks to trustworthy AI,high,3,"system,policy,plan",7-12,"Organizations must systematically identify and analyze potential harms caused by AI systems at individual, group, and societal levels, and evaluate the probability and severity of those harms to prior"
nist_interop,nist_interop::GOVERN-1.3,Treat risks to mitigate adverse impacts,high,3,"system,policy,plan",7-12,"Organizations must implement appropriate controls to eliminate, prevent, or reduce AI-related harms in proportion to the identified likelihood and severity of those harms, ensuring proportionality in "
nist_interop,nist_interop::GOVERN-1.4,"Govern risk management processes through embedding, monitoring, and accountability",high,3,"system,policy,plan",7-12,"Organizations must institutionalize AI risk management by embedding it into culture and operations, continuously monitoring its effectiveness, documenting decisions, communicating with stakeholders, a"
nist_interop,nist_interop::GOVERN-1.5,Align AI risk management frameworks with interoperable top-level steps,med,2,"policy,plan",7-12,"Organizations should structure their AI risk management processes around the four universal functions—Define, Assess, Treat, and Govern—to ensure alignment with global standards and enable interoperab"
nist_interop,nist_interop::GOVERN-1.6,Ensure governance measures include stakeholder consultation and organizational culture,med,2,"policy,system",7-12,"Organizations must actively engage stakeholders and cultivate an organizational culture that prioritizes ethical AI risk management, even when not explicitly mandated by law, to ensure trustworthy and"
nist_interop,nist_interop::GOVERN-1.7,Map AI risk management activities to the AI system lifecycle,high,3,"system,plan",7-12,Risk management must be applied consistently across all phases of the AI system lifecycle—from design and development to deployment and decommissioning—to ensure continuous oversight and accountabilit
nist_interop,nist_interop::GOVERN-1,"Gouverner le processus de gestion des risques en intégrant et cultivant une culture de gestion des risques dans les organisations ; surveiller et examiner le processus de manière continue ; et documenter, communiquer et consulter sur le processus et ses résultats, ainsi qu’en définissant ou en attribuant clairement les rôles et les responsabilités des différents acteurs de l'IA et en établissant une ligne de responsabilité.",high,3,"system,policy,plan",11-15,"Organisations must embed risk management into their culture, continuously monitor and review their risk processes, and ensure transparency by documenting, communicating, and consulting on risk outcome"
nist_interop,nist_interop::GOVERN-2,"Indiquer publiquement si un système d’IA est conforme aux normes réglementaires, de gouvernance et d’éthiques après avoir évalué et traité les risques.",high,2,"system,policy",11-15,"Organizations must publicly disclose whether their AI systems comply with applicable regulatory, governance, and ethical standards after completing risk assessment and mitigation activities."
nist_interop,nist_interop::GOVERN-3,Impliquer les dirigeants pour intégrer le processus de gestion des risques dans l’ensemble de la structure organisationnelle.,high,3,"policy,plan",11-15,"Leadership must actively participate in embedding risk management practices across all levels of the organization, ensuring that risk governance is not siloed within technical teams but is organizatio"
nist_interop,nist_interop::DEFINE-1,"Définir la portée, le contexte et les critères, y compris les principes et les risques de l'IA, les parties prenantes et les acteurs pour chaque phase du cycle de vie du système d'IA et le cycle de vie lui-même.",med,2,"system,plan",11-15,"Organizations must clearly define the scope, context, and criteria for AI risk management, including applicable ethical principles, identified risks, stakeholders, and actors across all phases of the "
nist_interop,nist_interop::ASSESS-1,"Évaluer les risques liés à une IA digne de confiance en identifiant et en analysant les problèmes aux niveaux individuel, global et sociétal et en évaluant la probabilité et le niveau de préjudice.",high,3,"system,plan",11-15,"Organizations must systematically identify and analyze AI risks across individual, organizational, and societal levels, assessing both the likelihood and severity of potential harm."
nist_interop,nist_interop::TREAT-1,"Traiter les risques pour cesser, prévenir ou atténuer les impacts négatifs en fonction de la probabilité et de la gravité de chacun.",high,3,"system,plan",11-15,"Organizations must implement risk treatment measures — such as stopping, preventing, or mitigating harm — proportionate to the likelihood and severity of each identified AI risk."
nist_interop,nist_interop::OECD-PRINCIPLE-1,Benefiting people and the planet,high,3,"system,policy,plan",17-23,"AI developers and operators must actively involve stakeholders to ensure AI systems promote inclusive growth, sustainable development, and human wellbeing. This requires meaningful engagement with aff"
nist_interop,nist_interop::OECD-PRINCIPLE-2,Human-centred values and fairness,high,3,"system,policy,plan",17-23,"AI systems must be designed and operated to uphold human rights, democratic values, and fairness, with tailored safeguards against discrimination, privacy violations, and harm to autonomy. This requir"
nist_interop,nist_interop::OECD-PRINCIPLE-3,Transparency and explainability,high,3,"system,policy,plan",17-23,Organizations using AI must clearly disclose when AI is being used and provide understandable explanations of system outputs so that affected individuals can comprehend decisions and seek redress if n
nist_interop,nist_interop::OECD-PRINCIPLE-4,"Robustness, security and safety",high,3,"system,policy,plan",17-23,"AI systems must be designed to operate reliably under expected and unexpected conditions, with traceable decision paths and proactive risk management to prevent harm from safety or security failures."
nist_interop,nist_interop::OECD-PRINCIPLE-5,Accountability,high,3,"system,policy,plan",17-23,"Organizations and individuals involved in AI development or deployment must be clearly accountable for ensuring AI systems function properly and uphold the principles of fairness, transparency, safety"
nist_interop,nist_interop::OECD-DDG-STEP-1,Embed RBC into company policies and management systems,med,2,"policy,plan",17-23,"Organizations must integrate responsible business conduct principles into their core governance, policies, and operational systems to ensure AI-related risks are systematically addressed across the en"
nist_interop,nist_interop::OECD-DDG-STEP-2,Identify and assess adverse impacts,med,2,"system,policy,plan",17-23,"Organizations must proactively identify and evaluate potential harms caused, contributed to, or linked to their AI systems, including through supply chains and third-party relationships."
nist_interop,nist_interop::OECD-DDG-STEP-3,"Cease, prevent or mitigate adverse impacts",high,3,"system,policy,plan",17-23,"When harms are identified, organizations must take concrete action to stop, prevent, or reduce them — including halting deployment, redesigning systems, or implementing safeguards."
nist_interop,nist_interop::OECD-DDG-STEP-4,Track implementation of efforts to address risk,med,2,"system,policy,plan",17-23,Organizations must monitor and measure the effectiveness of their risk mitigation efforts to ensure actions taken are actually reducing harms over time.
nist_interop,nist_interop::OECD-DDG-STEP-5,Communicate on due diligence efforts,med,2,"policy,plan",17-23,"Organizations must transparently report on their AI risk management activities to stakeholders, including the public, regulators, and affected communities."
nist_interop,nist_interop::OECD-DDG-STEP-6,Provide for or cooperate in remediation,high,3,"system,policy,plan",17-23,"Organizations must establish or participate in accessible, legitimate processes to provide remedy when their AI systems cause or contribute to harm — including grievance mechanisms for affected indivi"
nist_interop,nist_interop::ISO-31000-PRINCIPLE-1,Integrate risk management into organizational processes,med,2,"policy,plan",17-23,Risk management must be embedded into all organizational processes — not treated as a standalone activity — to ensure AI risks are systematically addressed across functions and levels.
nist_interop,nist_interop::ISO-23894-STEP-1,"Additional governance considerations for AI development, purchase or use",med,2,"policy,plan",17-23,"Organizations must apply specific governance controls tailored to AI systems — including procurement policies, development oversight, and usage guidelines — beyond generic risk frameworks."
nist_interop,nist_interop::ISO-23894-STEP-2,Stakeholder engagement for human oversight,med,2,"system,policy,plan",17-23,"Organizations must actively engage internal teams, affected communities, and regulators to ensure meaningful human oversight of AI systems throughout their lifecycle."
nist_interop,nist_interop::ISO-23894-STEP-3,"Tracking, record-keeping, and monitoring risk and risk management information",med,2,"system,policy,plan",17-23,"Organizations must maintain comprehensive, auditable records of AI risks, mitigation actions, and monitoring outcomes to ensure accountability and continuous improvement."
nist_interop,nist_interop::GOVERN-1.8,"Implement risk management functions (GOVERN, MAP, MEASURE, MANAGE) as defined by NIST AI RMF",med,2,"system,policy,plan",22-27,"Organizations must adopt a structured, iterative risk management process that includes governance, mapping of system capabilities and risks, measurement of trustworthy characteristics, and resource al"
nist_interop,nist_interop::EU-AIA-1.1,Prohibition of AI systems posing unacceptable risk,high,3,"system,policy,plan",26-29,"AI systems that pose unacceptable risks to individuals' physical/mental safety, dignity, or rights are strictly banned. This includes manipulative, exploitative, or discriminatory uses such as social "
nist_interop,nist_interop::EU-AIA-1.2,Risk management measures for high-risk AI systems,high,3,"system,policy,plan",26-29,"Providers of high-risk AI systems must establish and maintain a formal risk management process covering data quality, transparency, human oversight, and documentation to ensure compliance with safety "
nist_interop,nist_interop::EU-AIA-1.3,Identification and analysis of known and foreseeable risks (Article 9(2)(a)-(c)),high,3,"system,plan",26-29,"Developers must systematically identify, analyze, and evaluate all potential risks—including misuse scenarios—associated with high-risk AI systems before deployment, ensuring risks are not only antici"
nist_interop,nist_interop::EU-AIA-1.4,Testing of high-risk AI systems to identify risk management measures (Article 9(5)),high,3,"system,plan",26-29,"High-risk AI systems must undergo rigorous testing to determine which risk mitigation strategies are most effective, ensuring that controls are evidence-based and tailored to actual system behavior un"
nist_interop,nist_interop::EU-AIA-1.5,"Adoption of risk management measures to eliminate, reduce, mitigate or control risks (Article 9(2)(d)-(7))",high,3,"system,policy,plan",26-29,"Providers must implement specific, actionable controls to address each identified risk—prioritizing elimination first, then reduction, mitigation, or control—ensuring risks are not merely acknowledged"
