English Term,English Def.,Arabic Term,Arabic Def.,French Term,French Def.,Refined  English Def.,Refined French Def.
A/B Testing,Statistical way to compare two or more techniques to determine which performs better and to understand whether the difference is statistically significant.,اختبار أ/ب,طريقة إحصائية لمقارنة أسلوبين أو أكثر؛ لتحديد أي منهما يعمل بطريقة أفضل، وفهم ما إذا كان الاختلاف ذا دلالة إحصائية.,Test A/B,"Méthode statistique utilisée pour comparer deux ou plusieurs techniques, afin de déterminer celle qui produit les meilleurs résultats et de comprendre si la différence observée est statistiquement significative.",,
Abduction,"See ""Abductive Reasoning.""",استخلاص,"انظر ""استدلال استخلاصي"".",Abduction,"Voir "" Raisonnement abductif"".",,
Abductive Logic Programming (ALP),A framework that combines logic programming with abductive reasoning to generate plausible explanations or hypotheses for observed data or events.,برمجة منطقية استخلاصية,إطار يجمع بين البرمجة المنطقية والاستدلال الاستخلاصي؛ لتوليد تفسيرات أو فرضيات معقولة للبيانات أو الأحداث المرصودة.,Programmation logique abductive,Cadre de raisonnement combinant la programmation logique et l’abduction afin de construire des explications hypothétiques cohérentes avec un ensemble de faits observés.,,
Abductive Reasoning,"The process of inferring probable conclusions based on known information. Also called ""Abduction.""",استدلال استخلاصي,"عملية استنتاج نتائج محتملة بناءً على معلومات معروفة. ويُطلق عليها أيضًا ""استخلاص"".",Raisonnement abductif,"Raisonnement inférentiel qui consiste à déduire la cause la plus probable d’un phénomène observé. Egalement appelé ""Abducation""",,
Ablation Study,A scientific examination used to analyze the performance of a model by systematically removing or disabling some of its components and evaluating the impact of that on the performance.,دراسة استئصالية,اختبار علمي يُستخدم لتحليل أداء نموذج ما عن طريق إزالة بعض مُكوِّناته أو تعطيلها بطريقة منهجية وتقييم تأثير ذلك في الأداء.,Étude d’ablation,Expérience scientifique visant à analyser l’impact de chaque composant d’un modèle d’IA en le retirant ou en le modifiant afin d’évaluer son influence sur la performance globale.,,
Abstract Datatype,A set of data values and related operations that are independent of any implementation.,نوع بيانات مجرد,مجموعة من قيم البيانات والعمليات ذات الصلة التي تكون مستقلة عن أي تنفيذ.,Type de données abstrait,"Un ensemble de valeurs de données et d’opérations associées, indépendantes de toute implémentation.",,
Accountability,"A state of being accountable for something based on regulation, agreement, or assignment.",مسؤولية,حالة من المسؤولية عن شيء ما بناءً على التنظيم أو الاتفاق أو التعيين.,Responsabilité,"État dans lequel une personne ou une entité est tenue responsable de quelque chose, sur la base d’une réglementation, d’un accord ou d’une attribution.",,
Accuracy,ِA rate of correct predictions a classification model makes.,دقة,معدل التنبؤات الصحيحة التي يقدمها نموذج التصنيف.,Précision,Taux de prédictions correctes effectuées par un modèle de classification.,,
Action,A mechanism in reinforcement learning in which the agent transitions between the environment states.,فعل,آلية في التعلُّم التعزيزي، ينتقل بها الوكيل بين حالات البيئة.,Action,Mécanisme d’apprentissage par renforcement dans lequel un agent effectue une transition entre différents états de l’environnement.,,
Action Model Learning,A subfield of machine learning where AI agents learn to understand the effects of their actions within an environment.,تعلُّم نموذج الأفعال,مجال فرعي من تعلُّم الآلة، يتعلم فيه وكلاء الذكاء الاصطناعي فهم تأثيرات أفعالهم في بيئة ما.,Apprentissage du modèle d’action,Sous-domaine de l’apprentissage automatique dans lequel les agents d’IA apprennent à comprendre les effets de leurs actions au sein d’un environnement.,,
